"","Sample","Target","CopiesPeruL","DyeNames","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","Site","Date","Location"
"1076","NP-Hatfield-6-18-20-A","N2",0.121266879141331,"FAM/HEX",0.57928329706192,0.0050929575227201,9702,1,9701,"NP-Hatfield",06/18/20,"Newport"
"1077","NP-Hatfield-6-18-20-A","RP",3.64345479011536,"HEX",5.11496257781982,2.48628568649292,9702,30,9672,"NP-Hatfield",06/18/20,"Newport"
"1078","NP-Hatfield-6-18-20-A","N1",0.253086060285568,"FAM",0.81082683801651,0.0383390411734581,9298,2,9296,"NP-Hatfield",06/18/20,"Newport"
"1079","NP-Hatfield-6-18-20-A","N2",0.253086060285568,"FAM/HEX",0.81082683801651,0.0383390411734581,9298,2,9296,"NP-Hatfield",06/18/20,"Newport"
"1080","NP-Hatfield-6-18-20-A","RP",0.886039555072784,"HEX",1.72611474990845,0.376358687877655,9298,7,9291,"NP-Hatfield",06/18/20,"Newport"
"1081","NP-Southshore-6-18-20-A","N1",0.114137336611748,"FAM",0.545219779014587,0.00479354523122311,10308,1,10307,"NP-Southshore",06/18/20,"Newport"
"1082","NP-Southshore-6-18-20-A","N2",0,"FAM/HEX",0.341988563537598,0,10308,0,10308,"NP-Southshore",06/18/20,"Newport"
"1083","NP-Southshore-6-18-20-A","RP",1.37037944793701,"HEX",2.30692386627197,0.730099380016327,10308,12,10296,"NP-Southshore",06/18/20,"Newport"
"1108","NP-Neff-6-19-20-A","N1",0,"FAM",0.348067462444305,0,10128,0,10128,"NP-Neff",06/19/20,"Newport"
"1110","NP-Neff-6-19-20-A","RP",3.83954548835754,"HEX",5.3100323677063,2.67018270492554,10128,33,10095,"NP-Neff",06/19/20,"Newport"
"1113","NP-Neff-6-19-20-A","RP",3.05537271499634,"HEX",4.60732984542847,1.89935600757599,7711,20,7691,"NP-Neff",06/19/20,"Newport"
"1141","NP-NeolhaPoint-6-18-20-A","N1",0.22709596157074,"FAM",0.727543115615845,0.0344022177159786,10362,2,10360,"NP-NeolhaPoint",06/18/20,"Newport"
